element,type,confidence(%)
is this the first time patient is presenting for clinical care for these symptoms,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.91663
"if yes, is a follow-up visit scheduled",Medical Encounters,69.28687
"was patient hypoxemic at any outpatient, urgent care or ed visit",Patient History,76.86211
outpatient visit number1,Medical Encounters,73.196724
outpatient visit number2,Medical Encounters,73.838425
were there additional outpatient/clinic visits,Patient History,75.54882
urgent care visit number1,Medical Encounters,73.04353
urgent care visit number2,Medical Encounters,73.48399
were there additional urgent care visits?,Medical Encounters,76.716385
emergency department (ed) visit number1,Medical Encounters,71.52488
ed visit number2,Medical Encounters,73.126945
were there additional ed visits,Medical Encounters,75.33679
hospitalization number 1,Medical Encounters,73.54323
hospitalization number 2,Medical Encounters,74.873985
were there additional hospitalizations,Patient History,74.565636
icu admission,Clinical Information,66.9837
treated with steroids,Treatment/ Services referrals/ Case Diagnosis and Treatment,69.899
treated with antibiotics,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.95782
treated with antivirals,History of the disease,72.98747
required respiratory support,Clinical Information,70.21886
required ecmo (extracorporeal membrane oxygenation),Clinical Information,64.0589
bronchoalveolar lavage performed,Medical Encounters,63.42105
lipid staining,Laboratory Data,68.73038
lipid-laden macrophages seen,Potential Vibrio vehicles,58.25759
blood sample available for testing,Diagnostic Testing,79.15067
urine sample available for testing,Diagnostic Testing,74.16961
lung biopsy performed,Patient History,65.852356
lipid staining,Laboratory Data,68.73038
lipid-laden macrophages seen,Potential Vibrio vehicles,58.25759
findings consistent with acute lung injury,Illness in Mother and Infant,67.79312
"if yes, other significant findings",Diagnostic Testing,66.6068
if patient died,Patient History,73.81041
immediate cause of death,Illness in Mother and Infant,66.73918
contributing causes of death,Epidemiological/Exposure Factors/ Exposure/Source,73.531815
autopsy performed,Medical Encounters,70.0993
autopsy sample collected,Laboratory Data,69.98598
lipid staining performed on autopsy lung tissue,Laboratory Data,65.61591
lipid-laden macrophages seen,Potential Vibrio vehicles,58.25759
findings consistent with acute lung injury,Illness in Mother and Infant,67.79312
specify findings,Laboratory Data,76.128624
other significant findings,Laboratory Data,73.31337
detection day,Diagnostic Testing,66.33774
detection place (health facility or community),Diagnostic Testing,74.84573
patient identification number (yyyy-week-ccc-ppp-ddd-reporting site-nnn),Patient History,81.13972
patient surname or last name,Patient History,80.07675
patient first name(s),Patient History,80.158295
age of patient,Patient History,75.41699
sex of patient,Patient History,74.21681
number of people in same household,Partner Information,64.94331
number of other contacts,Partner Information,67.33428
patient's residential address,Patient History,74.27765
village/town,Local Fields,67.35022
neighborhood,Local Fields,67.18344
lga,Administrative,61.92768
state,Local Fields,62.3708
country,Community Investigation,62.057514
date of first symptoms,History of the disease,77.12052
observed symptoms and clinical signs,Diagnostic Testing,76.88214
was patient exposed to any known risk factor for this disease? (yes/no),Epidemiological/Exposure Factors/ Exposure/Source,74.73494
"if yes, specify risk factor(s)",Epidemiological/Exposure Factors/ Exposure/Source,72.15898
lab results,Laboratory Data,85.62806
"final classification (not a case, suspect, probable, confirmed by lab, confirmed by epidemiological link, pending)",Diagnostic Testing,74.41347
"outcome (died, survived, unknown)",Case Information,71.44917
end of latest contact followed-up (dd/mm/yyyy),Weekly Follow-up,70.2923
other notes and observations,Weekly Follow-up,66.41577
date latest update of this record (dd/mm/yyyy),Patient History,62.63303
country,Community Investigation,62.057514
year,Event,64.06758
quarter,Event,63.381184
month,Event,65.245186
drug susceptibility test results (s=sensitive; r=resistant; i=intermediate; u=unknown),Laboratory Data,69.78622
case unique identifier (detection year-country code-number in tb register),Case Information,70.48777
sex of patient,Patient History,74.21681
age of patient,Patient History,75.41699
date of diagnosis (dd/mm/yyyy),Patient History,77.92984
type of notification (mdr-tb or xdr tb),Clinical Information,62.11035
tb site (pulmonary or extra pulmonary),Epidemiological/Exposure Factors/ Exposure/Source,63.9203
type of tb case (new/relapse/after default/after failure of first treatment/after failure of re-treatment/transfer in/other),Treatment/ Services referrals/ Case Diagnosis and Treatment,76.15698
patient treatment status (on treatment/not on treatment/don't know),Treatment/ Services referrals/ Case Diagnosis and Treatment,79.045425
hiv status (positive/negative/unknown),Diagnostic Testing,69.367065
drugs,Public Health Issues,70.43027
epid number,Patient History,64.089264
date received at zonal/national level,Patient History,63.02999
lga,Administrative,61.92768
state,Local Fields,62.370808
nearest health facility to village,Public Health Issues,67.33822
neighborhood,Local Fields,67.18344
town/city,Local Fields,65.16077
address,Partner Information,65.42753
name(s) of patient,Patient History,85.850746
sex,Comments,66.737495
mother,Illness in Mother and Infant,67.26379
father,Traditional Healer,62.906395
notified by,Weekly Follow-up,67.75725
date case notified,Case Information,74.18644
date case investigated,Case Information,75.34045
mother vaccinated with tt,Illness in Mother and Infant,71.368965
number of doses,Epidemiological/Exposure Factors/ Exposure/Source,66.29613
if patient has card,Patient History,69.94315
vaccination status of mother prior to delivery,Illness in Mother and Infant,74.81389
1st,Weekly Follow-up,59.65901
2nd,Weekly Follow-up,60.9345
3rd,Event,59.596928
4th,Event,62.006866
5th,Weekly Follow-up,60.284454
"if >5, last dose",Clinical Information,62.589085
date of birth,Patient History,64.33852
location of birth,Illness in Mother and Infant,61.02687
cut cord with sterile blade,Maternal and Neonatal (e.g. Listeria forms),58.581985
cord treated with anything,Maternal and Neonatal (e.g. Listeria forms),64.25826
describe treatment of cord,Treatment/ Services referrals/ Case Diagnosis and Treatment,69.43308
mother received antenatal care,Illness in Mother and Infant,80.32593
"if birth in institution, name of institution",Patient History,63.384224
number of prenatal visits,Medical Encounters,67.40945
attended by doctor/nurse,Medical Encounters,79.29145
attended by a trained tba/midwife,Medical Encounters,71.62919
symptom onset date,History of the disease,73.75456
age of onset in days,History of the disease,67.082825
age at death in days,Patient History,56.99593
was baby normal at birth,Illness in Mother and Infant,74.42958
baby normal cry and suck,Illness in Mother and Infant,67.7538
baby stopped sucking,Illness in Mother and Infant,69.546135
stiffness signs,Diagnostic Testing,65.29208
has spasms or convulsions,Illness in Mother and Infant,68.45248
arched back sign,,58.72719
medical complications,Medical Encounters,76.86787
baby died,Illness in Mother and Infant,73.17376
seen in outpatient department,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.001945
patient admitted,Patient History,74.3561
date of admission,Patient History,66.9264
medical number,Clinical Information,74.38675
facility address,Reporting Entity/Reporting Facility,70.26818
comments,Comments,99.999985
mother vaccinated with tt,Illness in Mother and Infant,71.368965
date of response for supplemental,Weekly Follow-up,68.015686
supplemental immunization,Medical Encounters,63.9045
details of response,Case Information,70.72408
final classification of the case,Case Information,78.460815
neonatal tetanus,Illness in Mother and Infant,72.21206
name,Case Information,63.117123
title,Event,66.99352
unit,Administrative,63.76813
address,Partner Information,65.42753
date,Event,67.06779
phone,Call logs,66.341896
detection day,Diagnostic Testing,66.33774
detection place (health facility or community),Diagnostic Testing,74.84573
patient identification number (yyyy-week-ccc-ppp-ddd-reporting site-nnn),Patient History,81.13972
patient surname or last name,Patient History,80.07675
patient first name(s),Patient History,80.158295
age of patient,Patient History,75.41699
sex of patient,Patient History,74.21681
number of people in same household,Partner Information,64.94331
patient's residential address,Patient History,74.27765
village/town,Local Fields,67.35022
neighborhood,Local Fields,67.18344
district,Administrative,65.69792
province,Administrative,64.30891
country,Community Investigation,62.057514
date of first symptoms,History of the disease,77.12052
clinical signs and symptoms,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.49672
was the patient exposed to any known risk factor for this disease? (yes/no),History of the disease,74.02186
"if yes, specify risk factor(s): water used by the patient for drinking : (list by type, e.g. tap water, borehole, unprotected well, protected well, river, dam, lake, pond)",Epidemiological/Exposure Factors/ Exposure/Source,71.42935
number of doses of cholera vaccine,Potential Vibrio vehicles,60.465942
date last dose was administered,Patient History,73.099236
vibrio cholerae identified in stools,Potential Vibrio vehicles,72.0287
drugs to which the vibrio stain is sensitive,Potential Vibrio vehicles,78.99839
drugs to which the vibrio stain is resistant,Potential Vibrio vehicles,80.11017
"outcome (died, survived, unknown)",Case Information,71.44917
"final classification (not a case, suspect, probable, confirmed by lab, confirmed by epidemiological link, pending)",Diagnostic Testing,74.41347
other notes and observations,Weekly Follow-up,66.41577
date latest update of this record (dd/mm/yyyy),Patient History,62.63303
potential vibrio vehicles: drinking water,Potential Vibrio vehicles,89.266304
potential vibrio vehicles: non drinking water,Potential Vibrio vehicles,91.02522
potential vibrio vehicles: food items,Potential Vibrio vehicles,91.24675
bacteriology lab findings,Diagnostic Testing,73.13803
"water used by the patient for drinking: (list by type, e.g. tap water, borehole, unprotected well, river, dam, lake, pond)",Clinical Information,74.48634
within 3 days prior to the onset of the disease did the patient drink from,History of the disease,76.39604
within 3 days prior to the onset of the disease did the patient eat,History of the disease,77.24221
within 3 days prior to the onset of the disease did the patient attend any,History of the disease,78.511116
first name,Case Information,61.800117
surname,Case Information,63.159615
designation,Administrative,69.45636
organization,Administrative,74.64229
practice/clinic/provider name,Medical Encounters,76.50252
telephone,Call logs,68.34405
patient e-mail,Clinical Information,77.26684
patient street address,Patient History,74.36227
suburb,Local Fields,62.60735
state,Local Fields,62.3708
postcode,Partner Information,62.375153
profession,Administrative,68.52103
clinical setting,Clinical Information,83.42303
incident type*,Case Information,71.56504
brand,Traditional Healer,64.47301
incident,Event,76.4078
first name,Case Information,61.800117
surname,Case Information,63.159615
date of birth,Patient History,64.33852
phone number,Partner Information,62.679733
indigenous status: is the person of aboriginal or torres strait islander origin,Traditional Healer,62.274624
date of incident,Case Information,76.14783
time of incident,Case Information,69.415985
location,Partner Information,64.539856
details,Comments,68.74019
incident management action taken,Case Information,72.03308
number of consumers impacted (if multiple),Epidemiological/Exposure Factors/ Exposure/Source,61.598515
incident discovery and contributing factors,Community Investigation,72.65136
date received,Patient History,62.263756
forwarded to appropriate organization,Partner Information,67.320076
date forwarded,Patient History,61.796986
name,Case Information,63.117123
comments,Comments,99.999985
"subject name: (last, first)",Case Information,69.26663
date of symptom onset of this illness,History of the disease,83.328255
state/territory reporting this case,Case Information,78.672646
subject's county of residence,Local Fields,65.8176
first and last name,Partner Information,69.32742
phone,Call logs,66.341896
subject admitted as inpatient,Treatment/ Services referrals/ Case Diagnosis and Treatment,75.273964
admission date (mm/dd/yyyy),Patient History,61.136173
discharge date (mm/dd/yyyy),Patient History,63.485954
hospital name,Medical Encounters,72.740135
hospital record no.,Patient History,77.546486
hospital duration (in days),Patient History,72.9392
age,Comments,59.58798
age units,Administrative,60.129715
date of birth,Patient History,64.33852
height,,60.708435
height units,Laboratory Data,59.072166
weight,Nutritious / Food consumption,64.17378
weight units,Control Measures,61.833214
sex,Comments,66.737495
if patient pregnant,Illness in Mother and Infant,72.756386
ethnicity,Community Investigation,64.273766
race,Event,69.50713
type,Event,63.363914
specimen collection date (mm/dd/yyyy),Laboratory Data,67.07914
lab result date (mm/dd/yyyy),Laboratory Data,70.95714
result,Comments,66.999115
species,Comments,61.94179
parasitemia (percentage),History of the disease,66.5482
lab name,Laboratory Data,75.14492
lab phone,Laboratory Data,70.06679
has the subject traveled or lived outside the u.s. during the past 2 years,Weekly Follow-up,64.247894
date returned/arrived in u.s.,Patient History,61.659275
duration in country,Patient History,58.425457
duration units,Control Measures,61.705692
principal reason for travel,Public Health Issues,63.177387
other reason for travel,Public Health Issues,61.27857
what is the subject's country of usual residence,Case Information,63.372738
what is the subject's country of residence prior to most recent travel,Patient History,64.102104
what is the subject's country of birth,History of the disease,64.790855
was a specimen(s) sent to cdc,Laboratory Data,72.96256
"if yes, type of specimen sent to cdc (for each specimen, enter the cdc id)",Clinical Information,70.36902
was malaria chemoprophylaxis used,History of the disease,67.40359
"if yes, which drugs were taken (select all that apply)",Patient History,70.03576
was chemoprophylaxis taken as prescribed,Treatment/ Services referrals/ Case Diagnosis and Treatment,68.24339
reason for missing doses,Clinical Information,62.784218
history of malaria in the last 12 months (prior to this report),History of the disease,74.317696
"if yes, species (select all that apply)",Maternal and Neonatal (e.g. Listeria forms),59.42746
blood transfusion/organ transplant within last 12 months,Treatment/ Services referrals/ Case Diagnosis and Treatment,64.689026
complications (select all that apply),Case Information,62.031097
was illness fatal,Illness in Mother and Infant,75.49277
antimalarial treatment,Traditional Healer,63.903748
date initiated,Event,67.5112
date stopped,Event,63.535194
duration,Event,64.26668
other treatment (specify),Treatment/ Services referrals/ Case Diagnosis and Treatment,79.42114
comments,Comments,99.999985
last name,Case Information,66.35032
first name,Case Information,61.800117
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
reporting state,Reporting Entity/Reporting Facility,77.20183
national jurisdiction,Case Information,66.19564
reporting county,Reporting Entity/Reporting Facility,77.27495
date submitted,Patient History,64.82251
was the medicine for malaria treatment taken as prescribed,History of the disease,67.33754
did all signs or symptoms of malaria resolve without any additional malaria treatment within 7 days after treatment start,Treatment/ Services referrals/ Case Diagnosis and Treatment,65.765854
"if yes, did the subject experience a recurrence of signs and symptoms of malaria during the 4 weeks after starting malaria treatment",History of the disease,63.329895
did the subject experience any adverse events within 4 weeks after receiving the malaria treatment,History of the disease,65.39468
medication,Clinical Information,73.28801
start date,Event,62.299454
end date,Event,61.677074
duration,Event,64.26668
medication,Clinical Information,73.288
start date,Event,62.299454
end date,Event,61.677074
duration,Event,64.26668
(if yes): event description,Event,80.183975
relationship to treatment suspected,Treatment/ Services referrals/ Case Diagnosis and Treatment,82.881874
time to onset since treatment start,Treatment/ Services referrals/ Case Diagnosis and Treatment,68.65533
"adverse event time to onset-units (hours, days, weeks, months, years)",Epidemiological/Exposure Factors/ Exposure/Source,71.68741
adverse event severity (seriousness criteria),Epidemiological/Exposure Factors/ Exposure/Source,71.5082
"case name (last, first)",Case Information,79.12918
date of birth,Patient History,64.33852
age at symptom onset,History of the disease,68.87999
alternate name,Traditional Healer,59.593582
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
address type,Local Fields,65.03494
patient street address,Patient History,74.36227
city/state/zip/county,Case Information,63.091816
residence type (incl. homeless),Reporting Entity/Reporting Facility,62.322365
wa resident,Administrative,64.73992
investigator,Community Investigation,77.15075
lhj case id (optional),Case Information,75.16287
lhj notification date,Weekly Follow-up,64.94221
classification,Comments,64.89292
investigation status,Community Investigation,75.4404
investigation start,Community Investigation,79.01209
investigation complete,Community Investigation,72.890976
record complete,Patient History,65.544334
case complete,Case Information,76.86515
initial report source,Case Information,69.00133
lhj,Administrative,60.181034
reporter organization,Reporting Entity/Reporting Facility,72.325745
reporter name,Weekly Follow-up,65.73679
reporter phone,Call logs,69.71847
all reporting sources (list all that apply),Reporting Entity/Reporting Facility,78.20856
sex at birth,Illness in Mother and Infant,64.3506
"do you consider yourself (your child) hispanic, latino/a, orlatinx",Community Investigation,56.61384
what race or races do you consider yourself (your child)? you can be as broad or specific as you'd like (check all responses),Community Investigation,58.03827
additional race information,Case Information,64.66511
what is your (your child's) preferred language? check one,Illness in Mother and Infant,56.428944
interpreter needed,Administrative,61.705173
employed,Administrative,71.12753
patient occupation,Medical Encounters,80.32311
industry,Administrative,69.67813
employer,Administrative,74.955925
work site,Administrative,70.2248
city,Event,65.33524
student/day care,Administrative,68.57075
type of school,Administrative,66.15216
school name,Administrative,64.585266
school address,Administrative,67.19434
city/state/county,Case Information,66.80401
zip,,62.207527
phone number,Partner Information,62.679733
teacher's name,Administrative,64.42189
primary hcp name,Partner Information,61.38616
phone,Call logs,66.341896
"ok to talk to patient (if later, provide date)",Patient History,71.27
date of interview attempt,Case Information,62.71089
interview conducted*,Community Investigation,67.42589
alternate contact,Partner Information,63.888054
name,Case Information,63.117123
phone,Call logs,66.341896
outbreak related,Illness in Mother and Infant,72.920815
lhj cluster id,Local Fields,61.43537
cluster name,Reporting Entity/Reporting Facility,59.337425
complainant ill,Illness in Mother and Infant,73.075615
symptom onset,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.826805
diagnosis date,Patient History,76.77745
illness duration,Illness in Mother and Infant,72.893
illness is still ongoing,Illness in Mother and Infant,73.87451
toxin type,Maternal and Neonatal (e.g. Listeria forms),68.13522
clinical features,Clinical Information,80.40034
predisposing conditions,Epidemiological/Exposure Factors/ Exposure/Source,70.91208
hospitalized at least overnight for this illness,Illness in Mother and Infant,73.43186
facility name,Reporting Entity/Reporting Facility,72.36852
hospital admission date,Patient History,75.53391
discharge,Medical Encounters,65.95834
hrn,Traditional Healer,61.799408
disposition,Case Information,64.55148
admitted to icu,Clinical Information,71.738434
date admitted to icu,Patient History,74.524666
date discharged from icu,Patient History,70.82503
mechanical ventilation or intubation required,Clinical Information,68.37077
still hospitalized as of,Patient History,70.67522
died of this illness,History of the disease,78.638626
autopsy performed,Medical Encounters,70.0993
death certificate lists disease as a cause of death or a significant contributing condition,History of the disease,70.22483
location of death,Case Information,63.177467
travel out of,Cold Chain and Transport,58.855713
destination name,Cold Chain and Transport,61.90448
start and end dates,Event,63.27039
"is case a recent foreign arrival (e.g. immigrant, refugee, adoptee, visitor)",Case Information,77.54548
"injected drugs not prescribed by a doctor, even if only once or a few times",Medical Encounters,67.21822
non-injection street drug use,Public Health Issues,67.00718
contaminated wound during the 2 weeks before onset of symptoms,Maternal and Neonatal (e.g. Listeria forms),68.03331
source of botulism identified,History of the disease,71.688805
"epidemiologic link (e.g., ingestion of home-canned food within the previous 48 hours)",Epidemiological/Exposure Factors/ Exposure/Source,73.49574
likely geographic region of exposure,Epidemiological/Exposure Factors/ Exposure/Source,73.07474
international travel related,Medical Encounters,60.68206
suspected exposure type,Epidemiological/Exposure Factors/ Exposure/Source,76.03941
describe,Comments,65.53726
suspected exposure setting,Epidemiological/Exposure Factors/ Exposure/Source,63.707947
describe,Comments,65.53726
exposure summary,Epidemiological/Exposure Factors/ Exposure/Source,70.47993
did patient receive prophylaxis/treatment,Patient History,76.25654
specify antitoxin,Maternal and Neonatal (e.g. Listeria forms),65.799545
treatment start date,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.49046
treatment end date,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.989975
other medication,Clinical Information,72.13022
notes,Comments,71.596565
lab report reviewed-lhj,Laboratory Data,76.46679
wdrs user-entered lab report note,Laboratory Data,74.093735
submitter,Reporting Entity/Reporting Facility,62.28694
performing lab for entire report,Laboratory Data,77.29995
referring lab,Laboratory Data,75.981544
specimen identifier/accession number,Laboratory Data,69.30036
specimen collection date,Laboratory Data,69.71434
specimen received date,Laboratory Data,69.27614
wdrs specimen type,Laboratory Data,66.88964
wdrs specimen source site,Laboratory Data,70.20121
wdrs specimen reject reason,Laboratory Data,63.496292
wdrs test performed,Diagnostic Testing,72.316956
"wdrs test result, coded",Laboratory Data,64.170456
"wdrs test result, comparator",Diagnostic Testing,65.92403
"wdrs result, numeric only (enter only if given, including as necessary comparator and unit of measure",Laboratory Data,62.01403
wdrs unit of measure,Control Measures,63.84626
test method,Diagnostic Testing,79.58929
wdrs interpretation code,Case Information,57.19924
"test result-other, specify",Diagnostic Testing,70.56274
wdrs result summary,Weekly Follow-up,61.308807
test result status,Diagnostic Testing,74.436646
result date,Patient History,64.02298
wdrs ordering provider,Partner Information,60.581337
wdrs ordering facility name,Reporting Entity/Reporting Facility,65.56744
patient's name,Patient History,82.672485
address,Partner Information,65.42753
city,Event,65.33524
date first submitted,Patient History,64.30215
state case id,Case Information,83.343666
reporting state,Reporting Entity/Reporting Facility,77.20183
clinician's name,Clinical Information,79.88243
clinician's phone,Medical Encounters,76.56685
state of residence,Local Fields,64.938965
zip code,Partner Information,59.76201
county of usual residence,Local Fields,66.674385
sex,Comments,66.737495
if patient pregnant,Illness in Mother and Infant,72.756386
date of birth,Patient History,64.33852
age,Comments,59.58798
race,Event,69.50713
ethnicity,Community Investigation,64.273766
was the patient symptomatic,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.755104
"if yes, date of onset",History of the disease,73.15313
select all clinical manifestations the patient experienced,Patient History,80.41119
patient hospitalized,Patient History,74.594055
"if yes, date admitted",Event,59.45828
number of days hospitalized,Patient History,66.884766
was antimicrobial treatment given for this infection,Illness in Mother and Infant,72.07449
"if yes, date started",Patient History,63.78603
which drugs (select all that apply),Clinical Information,64.62962
clinical outcome,Clinical Information,79.640594
date of discharge,Patient History,66.23901
date of death,Patient History,66.41272
illness duration (days),Patient History,70.305145
culture,Traditional Healer,67.015305
pcr,Diagnostic Testing,74.1066
mat,Event,62.116684
other test,Diagnostic Testing,80.38578
leptospira serovar,History of the disease,61.029507
contact with animals (select all that apply),Epidemiological/Exposure Factors/ Exposure/Source,68.27512
specify animal,Traditional Healer,61.009758
where did animal contact(s) occur (e.g. at home),Epidemiological/Exposure Factors/ Exposure/Source,64.80391
contact with water (select all that apply),Epidemiological/Exposure Factors/ Exposure/Source,63.547325
specify water,Laboratory Data,62.483047
where did water contact(s) occur (specify location),Epidemiological/Exposure Factors/ Exposure/Source,62.74097
"if the patient had contact with animals or water, select the type of contact:",Medical Encounters,75.21524
occupational,Administrative,73.08599
avocational,Administrative,65.5409
recreation,Public Health Issues,64.74744
other,Event,64.07744
did the patient stay in housing with evidence of rodents,Medical Encounters,70.02263
did the patient stay in a rural area,Medical Encounters,76.25942
"did the patient travel outside of county, state or country",Patient History,77.99794
travel destination(s),Medical Encounters,59.636806
"was there heavy rainfall near the patient's place of residence, work site, activities, or travel",Medical Encounters,72.22349
"was there flooding near the patient's place of residence, work site, activities, or travel",Medical Encounters,72.63906
did the patient have similar exposures as a contact diagnosed with leptospirosis in the 30 day period,Epidemiological/Exposure Factors/ Exposure/Source,72.36189
has the patient ever had leptospirosis,Clinical Information,71.08954
is the patient part of an outbreak,Illness in Mother and Infant,74.93789
"if yes, describe outbreak",Illness in Mother and Infant,67.47706
classify case based on the cste/cdc case definition,Case Information,73.94304
investigator name,Community Investigation,72.215195
phone number,Partner Information,62.679733
comments,Comments,99.999985
"case name (last, first)",Case Information,79.12918
date of birth,Patient History,64.33852
age at symptom onset,History of the disease,68.87999
alternate name,Traditional Healer,59.593582
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
address type,Local Fields,65.03494
patient street address,Patient History,74.36227
city/state/zip/county,Case Information,63.091816
residence type (incl. homeless),Reporting Entity/Reporting Facility,62.322365
wa resident,Administrative,64.73992
investigator,Community Investigation,77.15075
lhj case id (optional),Case Information,75.16287
lhj notification date,Weekly Follow-up,64.94221
classification,Comments,64.89292
investigation status,Community Investigation,75.4404
investigation start,Community Investigation,79.01209
investigation complete,Community Investigation,72.890976
record complete,Patient History,65.54433
case complete,Case Information,76.86515
initial report source,Case Information,69.00133
lhj,Administrative,60.181034
reporter organization,Reporting Entity/Reporting Facility,72.325745
reporter name,Weekly Follow-up,65.73679
reporter phone,Call logs,69.71847
all reporting sources (list all that apply),Reporting Entity/Reporting Facility,78.20856
sex at birth,Illness in Mother and Infant,64.3506
"do you consider yourself (your child) hispanic, latino/a, orlatinx",Community Investigation,56.61384
what race or races do you consider yourself (your child)? you can be as broad or specific as you'd like (check all responses),Community Investigation,58.03827
additional race information,Case Information,64.66511
what is your (your child's) preferred language? check one,Illness in Mother and Infant,56.428944
interpreter needed,Administrative,61.705173
employed,Administrative,71.12753
patient occupation,Medical Encounters,80.32312
industry,Administrative,69.67813
employer,Administrative,74.955925
work site,Administrative,70.2248
city,Event,65.335236
student/day care,Administrative,68.57075
type of school,Administrative,66.15216
school name,Administrative,64.58526
school address,Administrative,67.19434
city/state/county,Case Information,66.80401
zip,,62.207527
phone number,Partner Information,62.679733
teacher's name,Administrative,64.42189
primary hcp name,Partner Information,61.38616
phone,Call logs,66.341896
"ok to talk to patient (if later, provide date)",Patient History,71.27
date of interview attempt,Case Information,62.71089
interview conducted*,Community Investigation,67.42589
alternate contact,Partner Information,63.888054
name,Case Information,63.117123
phone,Call logs,66.341896
outbreak related,Illness in Mother and Infant,72.920815
lhj cluster id,Local Fields,61.43537
cluster name,Reporting Entity/Reporting Facility,59.337425
complainant ill,Illness in Mother and Infant,73.075615
symptom onset,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.826805
diagnosis date,Patient History,76.77745
illness duration,Illness in Mother and Infant,72.893
illness is still ongoing,Illness in Mother and Infant,73.87451
clinical features,Clinical Information,80.40032
type of anthrax,Maternal and Neonatal (e.g. Listeria forms),63.523834
anthrax vaccine in past,History of the disease,70.01001
vaccine information available,Epidemiological/Exposure Factors/ Exposure/Source,72.02989
date of vaccine administration,History of the disease,65.74822
vaccine administered (type),Epidemiological/Exposure Factors/ Exposure/Source,68.66037
vaccine lot number,Case Information,65.0134
administering provider,Administrative,72.34735
date first seen by health care provider,Patient History,79.74519
location where first seen,History of the disease,66.37823
hospitalized at least overnight for this illness,Illness in Mother and Infant,73.43186
facility name,Reporting Entity/Reporting Facility,72.36852
hospital admission date,Patient History,75.53391
discharge,Medical Encounters,65.95834
hrn,Traditional Healer,61.799408
disposition,Case Information,64.55148
admitted to icu,Clinical Information,71.738434
mechanical ventilation or intubation required,Clinical Information,68.37077
still hospitalized as of,Patient History,70.67522
died of this illness,History of the disease,78.638626
autopsy performed,Medical Encounters,70.0993
death certificate lists disease as a cause of death or a significant contributing condition,History of the disease,70.22483
location of death,Case Information,63.17747
travel out of,Cold Chain and Transport,58.855713
destination name,Cold Chain and Transport,61.90448
start and end dates,Event,63.27039
"is case a recent foreign arrival (e.g. immigrant, refugee, adoptee, visitor)",Case Information,77.54548
does the case know anyone else with similar symptoms or illness,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.409386
contact setting/relationship to case,Case Information,68.21529
"outdoor or recreational activities (e.g., lawn mowing, gardening, hunting, hiking, camping, sports, yard work)",Public Health Issues,63.160587
activity,Event,68.532326
consumed raw or undercooked meat,Nutritious / Food consumption,69.72552
wildlife or wild animal exposure,Epidemiological/Exposure Factors/ Exposure/Source,72.197945
hunted or skinned animals,Nutritious / Food consumption,64.00192
contact with animal carcass,Maternal and Neonatal (e.g. Listeria forms),65.08316
"contact with unprocessed animal products (e.g., hide, hair, will, meat)",Epidemiological/Exposure Factors/ Exposure/Source,77.74135
unprocessed animal product*,Nutritious / Food consumption,66.60324
any contact with animals at home or elsewhere,Medical Encounters,70.92974
type of animal*,Traditional Healer,58.52339
"inhalation of dust from soil, grain, or hay",Epidemiological/Exposure Factors/ Exposure/Source,70.980095
"injected drugs not prescribed by a doctor, even if only once or a few times",Medical Encounters,67.21822
(potential) occupational exposure,Epidemiological/Exposure Factors/ Exposure/Source,75.76963
patient occupation,Medical Encounters,80.32311
"works handling/opening mail, packages, shipments",Administrative,66.47763
location,Partner Information,64.539856
date handled suspicious mail,Call logs,60.764008
date in room with suspicious mail,Surveillance Use Only,61.746197
"nearby when suspicious mail opened, date",Surveillance Use Only,66.59021
epi-linked to a documented anthrax environmental exposure,Epidemiological/Exposure Factors/ Exposure/Source,74.858986
epidemiologic link to a confirmed human case,Epidemiological/Exposure Factors/ Exposure/Source,75.41926
epidemiologic link to a documented exposure,Epidemiological/Exposure Factors/ Exposure/Source,82.82538
likely geographic region of exposure,Epidemiological/Exposure Factors/ Exposure/Source,73.07474
international travel related,Medical Encounters,60.68206
suspected exposure type,Epidemiological/Exposure Factors/ Exposure/Source,76.03941
describe,Comments,65.53726
suspected exposure setting,Epidemiological/Exposure Factors/ Exposure/Source,63.707947
describe,Comments,65.53726
exposure summary,Epidemiological/Exposure Factors/ Exposure/Source,70.47993
suspected transmission type,Household Transmission,79.75512
suspected transmission setting (check all that apply),Household Transmission,71.830086
describe,Comments,65.53726
follow-up to access exposure of laboratorians to specimen,Laboratory Data,71.37862
attended social gatherings or crowded settings,Event,65.07755
potential bioterrorism exposure,Epidemiological/Exposure Factors/ Exposure/Source,75.32184
notify fbi or public safety,Surveillance Use Only,66.15493
notified blood or tissue bank (if recent donation),Patient History,68.22159
notified department of agriculture or department of wildlife,Case Information,64.53476
