element,members
state epi id # (epidemiology id),State EPI ID # (epidemiology ID)
cdc epi id #,CDC EPI ID #
state lab specimen id,"State lab specimen ID Number 1, State lab specimen ID Number 2, State Lab Specimen1 ID"
cdc lab specimen id #1,CDC lab specimen ID #1
"cdc lab specimen id #2, cdc (lab) unique id#","CDC lab specimen ID #2, CDC (lab) unique ID#"
date reported to state/local health department,Date reported to state/local health department
name of person reporting to cdc,Name of Person Reporting to CDC
"at the time of this report, is the case","At the time of this report, is the case"
"if female, is the patient pregnant?","If female, is the patient pregnant?"
signs and symptoms (check all that apply),Signs and symptoms (check all that apply)
was the patient admitted to the intensive care unit?,Was the patient admitted to the intensive care unit?
did the patient require mechanical ventilation?,Did the patient require mechanical ventilation?
did the case-patient receive influenza vaccine between september 2008 and march 2009?,Did the case-patient receive influenza vaccine between September 2008 and March 2009?
does the case-patient have any of the following?,Does the case-patient have any of the following?
general tests*,General tests*
did the patient have any of the following tests?,Did the patient have any of the following tests?
if chest x-ray or chest ct scan abnormal: was there evidence of pneumonia?,If chest x-ray or chest CT scan abnormal: Was there evidence of pneumonia?
did the patient have acute respiratory distress syndrome (ards),Did the patient have Acute Respiratory Distress Syndrome (ARDS)
specimen code and type,Specimen code and type
influenza type/subtype,Influenza Type/Subtype
indicate when and what type of specimens (including sera) were sent to cdc and specimen id,Indicate when and what type of specimens (including sera) were sent to CDC and specimen ID
did the patient receive antiviral medications?,Did the patient receive antiviral medications?
date initiated,"Date Initiated, Date initiated"
date discontinued,"Date Discontinued, Date discontinued"
dosage (if known),Dosage (if known)
did the patient travel to mexico?,Did the patient travel to Mexico?
"did the patient have close contact (within 2 meter (6 feet) with a person (e.g. caring for, speaking with, or touching) who is a suspected, probable or confirmed swine influenza case?","Did the patient have close contact (within 2 meter (6 feet) with a person (e.g. caring for, speaking with, or touching) who is a suspected, probable or confirmed swine influenza case?"
did the patient handle samples (animal or human) suspected of containing influenza virus in a laboratory or other setting?,Did the patient handle samples (animal or human) suspected of containing influenza virus in a laboratory or other setting?
does the patient work in a healthcare facility or setting?,Does the patient work in a healthcare facility or setting?
has the patient had family members or close contacts with pneumonia or influenza-like illness?,Has the patient had family members or close contacts with pneumonia or influenza-like illness?
how many people live in the household (include patient in this number)?,How many people live in the household (include patient in this number)?
"for each person in the household, besides the patient, record age, check applicable symptoms if present anytime from 7 days before to 7 days after the patient�s onset date, and record initial symptom onset date","For each person in the household, besides the patient, record age, check applicable symptoms if present anytime from 7 days before to 7 days after the patient�s onset date, and record initial symptom onset date"
redcap case id ( generated by redcap),REDCap Case ID ( Generated by REDCap)
name of person completing form,Name of Person Completing Form
phone no,Phone No
was case reported as a gonorrhea case to cdc?,Was case reported as a gonorrhea case to CDC?
"if yes, was the case sent via","If yes, was the case sent via"
if case sent via netss,If case sent via NETSS
if case sent via mmg,If case sent via MMG
how was this case identified? (check all that apply),How was this case identified? (check all that apply)
case status for disseminated infection (see case classifications on page 1),Case status for disseminated infection (see Case Classifications on page 1)
date first reported to health department,Date first reported to health department
age (in years),Age (In years)
sex assigned at birth,Sex Assigned at Birth
current gender,Current Gender
hispanic ethnicity,Hispanic Ethnicity
"at time of dgi diagnosis, patient was","At time of DGI diagnosis, patient was"
"if pregnant or postpartum, what is (was) the due date (delivery date) of the patient","If pregnant or postpartum, what is (was) the due date (delivery date) of the patient"
if pregnant what was the gestational age at presentation? ___ weeks,If pregnant what was the gestational age at presentation? ___ weeks
"if pregnant or postpartum, what was the outcome of the fetus?","If pregnant or postpartum, what was the outcome of the fetus?"
"if survived with clinical infection with n. gonorrhoeae, what were the symptoms?","If survived with clinical infection with N. gonorrhoeae, what were the symptoms?"
condition/diagnosis,Condition/Diagnosis
did the patient receive any antibiotics in the 1 month prior to the current dgi diagnosis?,Did the patient receive any antibiotics in the 1 month prior to the current DGI diagnosis?
"if yes,","If yes, If yes,"
"prior to this gonococcal infection, did the patient receive or have history of receiving the medication eculizumab (or other biologic agents that inhibit the complement cascade)?","Prior to this gonococcal infection, did the patient receive or have history of receiving the medication Eculizumab (or other biologic agents that inhibit the complement cascade)?"
"if not receiving eculizumab, what complement-inhibiting biologic agent did the patient receive?","If not receiving Eculizumab, what complement-inhibiting biologic agent did the patient receive?"
what was the date of the last dose in which eculizumab (or other complement-inhibiting biologic agent) was administered (mm/dd/yyyy)?,What was the date of the last dose in which Eculizumab (or other complement-inhibiting biologic agent) was administered (MM/DD/YYYY)?
did the patient receive antibiotic prophylaxis as a result of the receipt of this medication?,Did the patient receive antibiotic prophylaxis as a result of the receipt of this medication?
"was the patient experiencing symptoms of urogenital and/or extragenital gonorrhea (e.g., abnormal penile or vaginal discharge, dysuria, rectal bleeding/discharge/pain, abdominal or pelvic pain, sore throat) at the time of or within a month prior to dgi presentation","Was the patient experiencing symptoms of urogenital and/or extragenital gonorrhea (e.g., abnormal penile or vaginal discharge, dysuria, rectal bleeding/discharge/pain, abdominal or pelvic pain, sore throat) at the time of or within a month prior to DGI presentation"
"if yes, when did the patient first seek medical care for the symptoms of urogenital and/or extragenital gonococcal infection (mm/dd/yyyy)?","If yes, when did the patient first seek medical care for the symptoms of urogenital and/or extragenital gonococcal infection (MM/DD/YYYY)?"
"when did the patient 1st develop dgi symptoms (e.g., fever, chills, malaise, rash, joint pain or swelling) (mm/dd/yyyy)?","When did the patient 1st develop DGI symptoms (e.g., fever, chills, malaise, rash, joint pain or swelling) (MM/DD/YYYY)?"
when did the patient seek medical care for the dgi symptoms (dd/mm/yyyy)?,When did the patient seek medical care for the DGI symptoms (DD/MM/YYYY)?
"in what type of medical facility was the patient evaluated or treated for dgi symptoms, even if a diagnosis was not made (check all that apply)?","In what type of medical facility was the patient evaluated or treated for DGI symptoms, even if a diagnosis was not made (check all that apply)?"
clinical manifestations of dgi (check all that apply),Clinical Manifestations of DGI (check all that apply)
"was the patient admitted to a hospital for dgi management (i.e., hospitalized as in patient)?","Was the patient admitted to a hospital for DGI Management (i.e., hospitalized as in patient)?"
did the patient have any surgeries (inpatient or outpatient) related to dgi?,Did the patient have any surgeries (inpatient or outpatient) related to DGI?
what was the clinical outcome of the dgi case?,What was the clinical outcome of the DGI case?
dose (mg),Dose (mg)
"route (iv, im, po)","Route (IV, IM, PO)"
frequency (every_hours),Frequency (Every_hours)
duration (days),Duration (Days)
date started (mm/dd/yyyy),Date Started (MM/DD/YYYY)
"if patient didn't complete the appropriate/recommended treatment for dgi, was there any documentation as to why treatment wasn't administered/completed?","If patient didn't complete the appropriate/recommended treatment for DGI, was there any documentation as to why treatment wasn't administered/completed?"
was n. gonorrhoeae testing performed at disseminated sites of infection during the current dgi presentation?,Was N. gonorrhoeae testing performed at disseminated sites of infection during the current DGI presentation?
date of specimen collection (mm/dd/yyyy),"Date of specimen collection (MM/DD/YYYY), Date of specimen collection (mm/dd/yyyy)"
specimen type (select one),Specimen Type (Select one)
diagnostic test type (select one),Diagnostic Test Type (Select one)
result (select one),Result (Select one)
was n. gonorrhoeae testing performed at genital and extra-genital mucosal sites in the 12 months prior to and including the current dgi presentation?,Was N. gonorrhoeae testing performed at genital and extra-genital mucosal sites in the 12 months prior to and including the current DGI presentation?
were any available n. gonorrhoeae isolates sent to cdc for further testing?,Were any available N. gonorrhoeae isolates sent to CDC for further testing?
cdc lrrb assigned id,CDC LRRB Assigned ID
gender of sex partner in the past 12 months (check all that apply),Gender of sex partner in the past 12 months (check all that apply)
"exchanged money, food/lodging, or drugs for sex in the past 12 months","Exchanged money, food/lodging, or drugs for sex in the past 12 months"
"homelessness (e.g., living on the street, in a shelter/a single-room occupancy hotel, in a car) at any time during the past 12 months","Homelessness (e.g., living on the street, in a shelter/a single-room occupancy hotel, in a car) at any time during the past 12 months"
reports using drug in the past 12 months (or positive drug test),Reports using drug in the past 12 months (or positive drug test)
"if used in past 12 months, was it injected","If used in past 12 months, was it injected"
was the patient interviewed by a disease intervention specialist (dis) or other public health staff?,Was the patient interviewed by a Disease Intervention Specialist (DIS) or other public health staff?
did the patient report any sex or needle sharing partners or associates,Did the patient report any sex or needle sharing partners or associates
partner,Partner
partner gender (select one),Partner Gender (Select one)
partner type (select one),Partner Type (Select one)
locating information provided (select one),Locating Information Provided (Select one)
interview performed (select one),Interview performed (Select one)
gonorrhoea case (select one),Gonorrhoea Case (Select one)
dgi case (select one),DGI Case (Select one)
isolate sent to cdc for additional testing (select one),Isolate Sent to CDC for Additional Testing (Select one)
lhj id use,LHJ ID Use
reported to doh,Reported to DOH
lhj classification,LHJ Classification
outbreak number,Outbreak number
doh id,DOH ID
doh classification,DOH Classification
initial report date,Initial report date
reporter (check all that apply),Reporter (check all that apply)
ok to talk to case?,Ok to talk to case?
reporter phone,Reporter phone
primary hcp name,Primary HCP name
primary hcp phone,Primary HCP phone
phone(s)/email,Phone(s)/Email
alt. contact,Alt. contact
occupation/grade,Occupation/grade
employer/worksite,Employer/worksite
school/child care name,School/child care name
diagnosis date,"Diagnosis date, Date diagnosis"
illness duration,Illness duration
method used*,Method used*
clinical findings,Clinical Findings
hospitalized for this illness,Hospitalized for this illness
admit date,Admit date
died from illness,Died from illness
autopsy,Autopsy
death date,"Death date, Death Date"
campylobacter isolation,Campylobacter isolation
campylobacter species,Campylobacter species
notes,Notes
contagious period,Contagious period
"travel out of the state, out of the country, or outside of usual routine","Travel out of the state, out of the country, or outside of usual routine"
out of,Out of
destinations/dates,Destinations/Dates
case knows anyone with similar symptoms,Case knows anyone with similar symptoms
epidemiologic link to a confirmed human case,Epidemiologic link to a confirmed human case
contact with lab confirmed case,Contact with lab confirmed case
type of contact,"Type of contact*, Type of contact"
contact with diapered or incontinent child or adult,Contact with diapered or incontinent child or adult
congregate living,Congregate living
poultry,Poultry
undercooked,Undercooked
handled raw poultry,Handled raw poultry
unpasteurized milk (cow),Unpasteurized milk (cow)
"unpasteurized dairy products (e.g., raw milk, soft cheese from raw milk, queso fresco or food made with these cheeses)","Unpasteurized dairy products (e.g., soft cheese from raw milk, queso fresco or food made with these cheeses), raw milk"
"group meal (e.g. potluck, reception)","Group meal (e.g. potluck, reception)"
food from restaurants,Food from restaurants
restaurant name/location,Restaurant name/Location
source of home drinking water known,Source of home drinking water known
source/type,"Source Type*, Source/type"
"drank untreated/unchlorinated water (e.g., surface, well)","Drank untreated/unchlorinated water (e.g., surface, well)"
"recreational water exposure (e.g., lakes, rivers, pools, wading pools, fountains)","Recreational water exposure (e.g., lakes, rivers, pools, wading pools, fountains)"
case or household member lives or works on farm/dairy,Case or household member lives or works on farm/dairy
exposure to pets,Exposure to pets
was the pet sick?,Was the pet sick?
"zoo, farm, fair or pet shop visit","Zoo, farm, fair or pet shop visit"
livestock or farm poultry,Livestock or farm poultry
"outdoor or recreational activities (e.g., lawn mowing, gardening, hunting, hiking, camping, sports, yard work)","Outdoor or recreational activities (e.g., lawn mowing, gardening, hunting, hiking, camping, sports, yard work)"
interview outcome*,Interview outcome*
most likely exposure/site,Most likely exposure/site
site name/address,Site name/address
where did exposure probably occur,Where did exposure probably occur
patient prophylaxis/treatment,Patient Prophylaxis/Treatment
employed as food worker,Employed as food worker
"non-occupational food handling (e.g., potlucks, receptions) during contagious period","Non-occupational food handling (e.g., potlucks, receptions) during contagious period"
employed as health care worker,Employed as health care worker
employed in child care or preschool,Employed in child care or preschool
attends child care or preschool,Attends child care or preschool
"household member or close contact in sensitive occupation or setting (hcw, child care, food)","Household member or close contact in sensitive occupation or setting (HCW, child care, food)"
public health actions*,Public Health Actions*
phone/email,Phone/email
investigation complete date,Investigation complete date
local health jurisdiction,Local health jurisdiction
received in surveillance,Received in Surveillance
patient,Patient
st,St
unique address condition,Unique Address Condition
date of entry into us,Date of entry into US
mantoux test (tst) administered,Mantoux test (TST) administered
results (mm),Results (mm)
igra (quantiferon/t-spot),IGRA (Quantiferon/T-spot)
risk factors,Risk Factors
source name,Source Name
evaluation/treatment plan,Evaluation/Treatment Plan
if not why,If not why
reporting provider,Reporting Provider
date completed,Date Completed
facility/agency,Facility/Agency
name of provider,Name of Provider
medical rec. no.,Medical Rec. No.
dob (mm/dd/yyyy),DOB (MM/DD/YYYY)
ssn number,SSN Number
cell phone,Cell Phone
alt. phone,Alt. Phone
pt. email,Pt. Email
chlamydia test specimen*,Chlamydia test specimen*
date treatment administered or prescription given,"Date Treatment Administered or Prescription Given, Date Treatment Administered or Prescription Given:"
treatment administered*,Treatment administered*
gonorrhea test specimen*,Gonorrhea test specimen*
syphilis test specimen*,Syphilis test specimen*
test(s) conducted & results,Test(s) Conducted & Results
date treatment administered,Date Treatment Administered
date 1st dose administered,Date 1st Dose Administered
other test specimen*,Other test specimen*
middle name,"Middle Name, Middle name"
english speaking?,English Speaking?
gender identity,Gender Identity
currently pregnant,"Currently Pregnant, Currently pregnant"
reason for exam (check one),Reason for Exam (check one)
gender of sex partners (check all that apply),Gender of Sex Partners (check all that apply)
currently on prep?,Currently on PrEP?
diagnosis (check one),Diagnosis (check one)
date tested,Date Tested
sites (all that apply),Sites (all that apply)
treatment (check all prescribed),Treatment (check all prescribed)
date prescribed,Date Prescribed
laboratory confirmation,Laboratory Confirmation
other diseases*,Other Diseases*
stage (check one),Stage (check one)
manifestations (check all that apply),Manifestations (check all that apply)
treatment (check one),Treatment (check one)
partner treatment plan (check one or more options),Partner Treatment Plan (check one or more options)
diagnosing clinician,Diagnosing Clinician
(if date of birth unknown) age,(If date of Birth Unknown) Age
history of fever,History of Fever
jaundice,Jaundice
sign of haemorrhage,Sign of Haemorrhage
at least one dose of yellow fever vaccine,At least one dose of yellow fever vaccine
date of last yellow fever vaccination (if known),Date of last yellow fever vaccination (If known)
list districts where patient visited in the last 2 weeks,List districts where patient visited in the last 2 weeks
were there other cases of fever and jaundice in the district of this case or other district where the patient visited?,Were there other cases of Fever and Jaundice in the district of this case or other district where the patient visited?
date of blood specimen collection,Date of blood specimen collection
date specimen received at the lab,Date specimen received at the lab
results of igm test,Results of IgM test
date results sent to referring clinician,Date results sent to referring clinician
date 1st blood specimen,Date 1st blood specimen
date second specimen taken,Date second specimen taken
does the alert meet case definition for yellow fever?,Does the alert meet case definition for Yellow Fever?
reg no.,Reg No.
name of patient in block letters (start with surname),Name of Patient in Block Letters (Start with Surname)
"if dob unknown, specify age","If DOB Unknown, Specify Age"
nrc/foreign identification no.,NRC/Foreign Identification No.
place of birth,Place of Birth
tribe,Tribe
permanent or usual address,Permanent or Usual Address
contact address,Contact Address
reached menopause,Reached Menopause
alcohol,Alcohol
tobacco,Tobacco
if tobacco is now or past type,If Tobacco is Now or Past type
if cigarettes,If Cigarettes
referring hospital/clinic,Referring Hospital/Clinic
patient number,Patient Number
hospital/facility referred to,Hospital/Facility Referred to
doctor/consultant in-charge,Doctor/Consultant In-Charge
hospital/facility responsible for subsequent treatment and follow-ups,Hospital/Facility responsible for subsequent Treatment and Follow-ups
primary site,Primary Site
histological/clinical diagnosis,Histological/Clinical Diagnosis
basis of diagnosis (check one or more as applicable),Basis of Diagnosis (check one or more as applicable)
extent of disease,Extent of Disease
present status,Present Status
cause of death,"If Dead Cause of Death, Cause of death"
clinical staging (ctnm),Clinical Staging (cTNM)
staging group,Staging Group
treatment (check one or more as applicable),Treatment (Check one or more as applicable)
other remarks,Other Remarks
notification date,Notification Date
patient phone,Patient Phone
date reported to hd,Date reported to HD
provider name,Provider Name
provider address,Provider Address
provider phone,Provider Phone
eia/ifa,EIA/IFA
results of test*,Results of Test*
western blot (wb) specimen collection date if not serum specify,Western Blot (WB) specimen collection date if not serum specify
igg,IgG
other test(s),"Other tests, Other test"
did a physician or other medical professional diagnose this patient with lyme disease?,Did a physician or other medical professional diagnose this patient with Lyme disease?
date of lyme disease diagnosis,Date of Lyme disease diagnosis
confirmatory signs and symptoms,Confirmatory signs and symptoms
non-confirmatory signs and symptoms (check all that apply),Non-confirmatory signs and symptoms (check all that apply)
"if em is present, was the patient exposed to wooded, brushy or grassy areas in a lyme disease endemic country <= 30 days before onset?","If EM is present, was the patient exposed to wooded, brushy or grassy areas in a Lyme disease endemic country <= 30 days before onset?"
"if the patient had em, was there","If the patient had EM, was there"
was the patient pregnant at the time of illness?,Was the patient pregnant at the time of illness?
was the patient hospitalized for this illness/,Was the patient hospitalized for this illness/
antibiotics used for this illness,Antibiotics used for this illness
combined duration of antibiotics for this illness,Combined duration of antibiotics for this illness
patient's registration number,Patient's Registration Number
date of registration (dd/mm/yyyy),Date of Registration (dd/mm/yyyy)
maiden name,"Maiden Name, Maiden name"
race/ethnicity,Race/Ethnicity
religion (check one),Religion (check one)
street address of permanent residence,Street address of permanent residence
telephone number of patient (or relative),Telephone number of patient (or relative)
date of last contact (dd/mm/yyyy),Date of last contact (dd/mm/yyyy)
status at last contact,Status at last contact
"if dead, date of death (dd/mm/yyyy)","If dead, date of death (dd/mm/yyyy)"
hiv status of patient,HIV status of patient
date of diagnosis (dd/mm/yyyy),Date of diagnosis (dd/mm/yyyy)
primary site of cancer (topography),Primary Site of Cancer (topography)
code: c,Code: C
type of cancer (morphology),Type of Cancer (morphology)
code: m,Code: M
behaviour,Behaviour
clinical extent of disease before treatment (check most accurate description),Clinical extent of disease before treatment (check most accurate description)
best basis of diagnosis,Best basis of diagnosis
were the following treatments administered within six months following diagnosis (select all that apply)?,Were the following treatments administered within six months following diagnosis (select all that apply)?
"result of initial treatment, if known","Result of initial treatment, if known"
date of most recent treatment (dd/mm/yyyy),Date of most recent treatment (dd/mm/yyyy)
pathology case number,Pathology case number
file number,File Number
referral to,Referral to
date (dd/mm/yyyy),Date (dd/mm/yyyy)
middle,Middle
phone (home/cell),Phone (Home/Cell)
work,Work
current gender identity,Current Gender Identity
gonorrhea,Gonorrhea
chlamydia,Chlamydia
other untreated std,Other Untreated STD
neuro involvement,Neuro Involvement
optic involvement,Optic Involvement
otic involvement,Otic Involvement
name of facility,"Name of Facility, Name of facility"
date of test collection,Date of Test Collection
diagnostic test,Diagnostic Test
date of treatment,Date of Treatment
treatment/drug,Treatment/Drug
dose/amount,Dose/Amount
name and title of clinician,Name and Title of Clinician
estimated due date,Estimated due date
was prep offered/prescribed?,Was PrEP Offered/Prescribed?
was expedited partner therapy provided for sexual partner(s),Was Expedited Partner Therapy Provided for Sexual Partner(s)
"if ept was provided, how many doses were given?","If EPT was provided, how many doses were given?"
physician comments,Physician Comments
"telephone (indicate home, work or cell)","Telephone (indicate home, work or cell)"
estimated delivery date,"Estimated delivery date, (Estimated) delivery date"
date of last hiv test,Date of Last HIV Test
is patient on prep?,Is patient on PrEP?
sites (check all that apply),Sites (check all that apply)
date treated,Date Treated
gonorrhea treatment administered*,Gonorrhea Treatment administered*
was the patient given medication/prescription for their partner(s)?,Was the patient given medication/prescription for their partner(s)?
chlamydia treatment administered*,Chlamydia Treatment administered*
stage,"Stage*, Stage"
additional diagnoses (check all that apply),Additional diagnoses (check all that apply)
syphilis treatment administered*,Syphilis Treatment administered*
was the patient tested for syphilis prior to current report?,Was the patient tested for syphilis prior to current report?
"if yes, date of last rpr","If yes, date of last RPR"
first,First
telephone (direct line),Telephone (direct line)
street,Street
"patient's name (last, first, mi)","Patient's Name (Last, First, MI.), MI)"
"address (street, city, state, zip)","Address (Street, City, State, Zip)"
employment,Employment
ssn/medical record no.,SSN/Medical record No.
provider type,Provider Type
exam date,Exam Date
exam reason,Exam Reason
100 chancroid,100 Chancroid
dosage,Dosage
200 chlamydia (not pid),200 Chlamydia (Not PID)
300 gonorrhea (not pid),300 Gonorrhea (Not PID)
490 pelvic inflammatory disease,490 Pelvic Inflammatory Disease
600 lymphogranuloma venereum (lgv),600 Lymphogranuloma Venereum (LGV)
700 syphilis,700 Syphilis
neurologic involvement,Neurologic Involvement
900 hiv non- aids or hiv with aids or non-reactive hiv test results,900 HIV Non- AIDS or HIV with AIDS or Non-Reactive HIV Test Results
reporting address,Reporting Address
office address,Office Address
please consult me or my designation staff before contacting my patient,Please consult me or my designation staff before contacting my patient
designation staff person,Designation Staff Person
extension,Extension
best time to call me or my staff,Best time to call me or my staff
"partner's name (last, first, mi.)","Partner's Name (Last, First, MI.)"
nickname or alias,Nickname or alias
dob or approximate age,DOB or approximate age
"partner's address (stress, apartment, city, state)","Partner's Address (Stress, Apartment, City, State)"
home,Home
best time to call or visit partner,Best time to call or visit partner
date of last exposure to patient,Date of last exposure to patient
partner's marital status,Partner's Marital Status
partner's place of employment,Partner's Place of Employment
work hours,Work Hours
brief description of the lesion,Brief description of the lesion
if recurrent,If recurrent
patient/caregiver contacts,Patient/caregiver contacts
upper ext,Upper Ext
lower ext,Lower Ext
other location of lesion*,Other location of lesion*
name of clinician completing the form,"Name of Clinician completing the form, Name of Clinical completing the form"
site of collection,Site of collection
date and time collection,Date and time collection
date form received,Date form received
information given by (first and surname),Information given by (first and surname)
service,Service
qualification,Qualification
others,Others
"if dead, please specify date of death","If dead, please specify date of death"
health centres,Health Centres
"if yes, date of onset for the fever","If yes, date of onset for the fever"
does/did the patient have the following symptoms (tick off when apply),Does/did the patient have the following symptoms (tick off when apply)
"if yes, name the traditional healer","If yes, name the traditional healer"
when and where did the contact take place?,When and where did the contact take place?
outcome (verified 4 weeks after onset of symptoms),Outcome (verified 4 weeks after onset of symptoms)
"if >5, last dose","If >5, last dose"
attended by a ttm/midwife?,Attended by a TTM/midwife?
"if attended by a ttm/midwife, give name","If attended by a TTM/midwife, give name"
"if birth in institution, name of institution","If birth in institution, name of institution, If birth in Institution"
describe treatment of cord: where?,Describe treatment of cord: Where?
age of death,Age of death
age of onset in days,Age of onset in days
date of declaration,Date of declaration
case reported by (check all that apply and specify),Case reported by (check all that apply and specify)
form completed by (first and last name),Form completed by (first and last name)
relationship with patient,Relationship with patient
"for children, father's name","For children, father's name"
village of residence during the last 12 months,Village of residence during the last 12 months
health district or zone,Health district or Zone
ethnicity/tribe,Ethnicity/tribe
occupation of the patient (check all that apply),Occupation of the patient (check all that apply)
status of patient,Status of patient
"if dead, date of death","If dead, date of death"
place of death (name of village),Place of death (name of village)
is a smallpox vaccination scar present,Is a smallpox vaccination scar present
does the patient have a cutaneous eruption,Does the patient have a cutaneous eruption
has the patient had a cutaneous eruption in the last two months,Has the patient had a cutaneous eruption in the last two months
date the rash began,Date the rash began
name of village where the patient developed rash,Name of village where the patient developed rash
country where the patient developed rash,Country where the patient developed rash
does the patient have a fever,Does the patient have a fever
"if yes, date the fever began","If yes, date the fever began"
did the fever precede the rash,Did the fever precede the rash
face,Face
thorax,Thorax
arms,Arms
legs,Legs
palms of hands,Palms of hands
soles of feet,Soles of feet
genitals,Genitals
are the lesions in the same state of the development of the body,Are the lesions in the same state of the development of the body
are all the lesions the same size and state of development,Are all the lesions the same size and state of development
are the lesions deep and profound,Are the lesions deep and profound
do the lesions resemble (for each photo),Do the lesions resemble (for each photo)
does or did the patient have any of the following symptoms (check all that apply),Does or did the patient have any of the following symptoms (check all that apply)
"during the three weeks preceding the onset of symptoms, did the patient have contact with one or more persons who had with similar symptoms","During the three weeks preceding the onset of symptoms, did the patient have contact with one or more persons who had with similar symptoms"
first date of contact with the ill person,First date of contact with the ill person
interaction with this person (choose all that apply),Interaction with this person (choose all that apply)
other information about the contact,Other information about the contact
did the patient touch a domestic or wild animal during the three weeks preceding symptoms onset,Did the patient touch a domestic or wild animal during the three weeks preceding symptoms onset
"if yes, what kind of animal","If yes, what kind of animal"
type of contact (check all that apply),Type of contact (check all that apply)
"if yes, date","If yes, date"
additional comments about the case,Additional comments about the case
cdc case id number,CDC Case ID Number
name of public health department,Name of Public Health Department
"any e-cigarette use or vaping (e.g., vaping, dabbing)","Any e-Cigarette use or vaping (e.g., vaping, dabbing)"
"if yes, any e-cigarette use or vaping in the past month (30 days)","If yes, any e-Cigarette use or vaping in the past month (30 days)"
"if yes, substance(s) used in past 3 months (90 days)","If yes, substance(s) used in past 3 months (90 days)"
"any combustible tobacco smoking (e.g., cigarettes, cigars)","Any combustible tobacco smoking (e.g., cigarettes, cigars)"
"any other tobacco products (e.g., smokeless tobacco)","Any other tobacco products (e.g., smokeless tobacco)"
"any combustible marijuana smoking (i.e., any non-vape marijuana)","Any combustible Marijuana smoking (i.e., any non-vape marijuana)"
"any other marijuana products (e.g., edibles)","Any other marijuana products (e.g., edibles)"
any nicotine e-cigarette use or vaping reported,Any nicotine e-cigarette use or vaping reported
"if yes, what is the frequency of use","If yes, what is the frequency of use"
did the patient report using flavoured nicotine in e-cigarette and/or vape products,Did the patient report using flavoured nicotine in e-Cigarette and/or vape products
how many brands of nicotine containing products vaped or dabbed in the past 3 months,How many brands of nicotine containing products vaped or dabbed in the past 3 months
where was the nicotine e-cigarette(s) or vaping product(s) purchased or obtained? check all that apply,Where was the nicotine e-Cigarette(s) or vaping product(s) purchased or obtained? check all that apply
what kind of device(s) were used with this product? select all that apply,What kind of device(s) were used with this product? select all that apply
was this a mod device (a device that allows user to choose higher and/or variable temperatures,Was this a mod device (a device that allows user to choose higher and/or variable temperatures
"did patient modify, or add substance, to the device(s) that was not intended by the manufacturer","Did patient modify, or add substance, to the device(s) that was not intended by the manufacturer"
did patient share product with anyone who became ill,Did patient share product with anyone who became ill
product sample sent for testing,Product sample sent for testing
any thc e-cigarette use or vaping reported,Any THC e-cigarette use or vaping reported
date last used,Date last used
did the patient report using flavoured thc in e-cigarette and/or vape products,Did the patient report using flavoured THC in e-Cigarette and/or vape products
how many brands of thc containing products vaped or dabbed in the past 3 months,How many brands of THC containing products vaped or dabbed in the past 3 months
what was the purpose of thc product(s) use,What was the purpose of THC product(s) use
"which thc substance(s) were used in an e-cigarette, vaping device, vaporizer, or dab ring? select all that apply","Which THC substance(s) were used in an e-Cigarette, vaping device, vaporizer, or dab ring? select all that apply"
where was the thc e-cigarette(s) or vaping product(s) purchased or obtained? check all that apply,Where was the THC e-Cigarette(s) or vaping product(s) purchased or obtained? Check all that apply
what kind of device(s) were used with this substance? select all that apply,What kind of device(s) were used with this substance? select all that apply
what kind of thc cartridge(s) were used with device(s),What kind of THC cartridge(s) were used with device(s)
chief complaint,Chief complaint
date symptom(s) started,Date symptom(s) started
gi symptoms,GI symptoms
respiratory symptoms,Respiratory symptoms
constitutional symptoms,Constitutional symptoms
weight loss during current illness,Weight loss during current illness
"chronic respiratory disease (including asthma, copd, etc.)","Chronic respiratory disease (including asthma, COPD, etc.)"
heart disease,Heart disease
anxiety,Anxiety
depression,Depression
other chronic illness,Other chronic illness
"if yes, trimester","If yes, trimester"
chest imaging performed,Chest imaging performed
location of abnormal findings,Location of abnormal findings
infiltrates/opacities present,Infiltrates/opacities present
subpleural sparing on ct,Subpleural sparing on CT
"specify other abnormal chest imaging findings (e.g., pneumothorax)","Specify other abnormal chest imaging findings (e.g., pneumothorax)"
respiratory viral panel,Respiratory viral panel
influenza,Influenza
blood cultures,Blood cultures
legionella urinary antigen,Legionella urinary antigen
strep pneumoniae urinary antigen,Strep pneumoniae urinary antigen
mycoplasma pneumoniae,Mycoplasma pneumoniae
is this the first time patient is presenting for clinical care for these symptoms,Is this the first time patient is presenting for clinical care for these symptoms
"if yes, is a follow-up visit scheduled","If yes, is a follow-up visit scheduled"
"was patient hypoxemic at any outpatient, urgent care or ed visit","Was patient hypoxemic at any outpatient, urgent care or ED visit"
outpatient visit,"Outpatient visit number1, Outpatient visit number2"
were there additional outpatient/clinic visits,Were there additional outpatient/clinic visits
urgent care visit,"Urgent care visit number1, Urgent care visit number2"
were there additional urgent care visits?,Were there additional urgent care visits?
emergency department (ed) visit number1,Emergency Department (ED) visit number1
ed visit number2,ED visit number2
were there additional ed visits,Were there additional ED visits
hospitalization number,"Hospitalization number 1, Hospitalization number 2"
were there additional hospitalizations,Were there additional hospitalizations
icu admission,ICU Admission
treated with steroids,Treated with steroids
treated with antibiotics,Treated with antibiotics
treated with antivirals,Treated with antivirals
